[[0.82136406 0.        ]
 [0.         0.        ]]
         724932 function calls (722597 primitive calls) in 0.858 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    142/1    0.001    0.000    0.858    0.858 {built-in method builtins.exec}
        1    0.000    0.000    0.858    0.858 functions.py:1(<module>)
        1    0.000    0.000    0.696    0.696 functions.py:199(main)
        1    0.000    0.000    0.695    0.695 functions.py:174(matrice_distance)
        1    0.103    0.103    0.695    0.695 functions.py:146(needleman_wunsch)
   166753    0.343    0.000    0.590    0.000 functions.py:80(formule_needleman)
   500259    0.247    0.000    0.247    0.000 functions.py:46(score)
    162/2    0.002    0.000    0.160    0.080 <frozen importlib._bootstrap>:978(_find_and_load)
    162/2    0.001    0.000    0.160    0.080 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    155/2    0.001    0.000    0.159    0.080 <frozen importlib._bootstrap>:663(_load_unlocked)
    131/2    0.001    0.000    0.159    0.079 <frozen importlib._bootstrap_external>:722(exec_module)
    222/2    0.000    0.000    0.158    0.079 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.158    0.158 __init__.py:106(<module>)
   320/12    0.000    0.000    0.124    0.010 {built-in method builtins.__import__}
   845/81    0.001    0.000    0.124    0.002 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        6    0.001    0.000    0.102    0.017 __init__.py:1(<module>)
      131    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      159    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      146    0.000    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      146    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      298    0.003    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      619    0.000    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      620    0.037    0.000    0.037    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.031    0.031 __init__.py:7(<module>)
        2    0.000    0.000    0.022    0.011 __init__.py:45(<module>)
  155/152    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      131    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      131    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
      131    0.011    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:914(get_data)
        1    0.000    0.000    0.017    0.017 npyio.py:1(<module>)
       11    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       11    0.013    0.001    0.016    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.014    0.014 _datasource.py:35(<module>)
      190    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.013    0.013 shutil.py:5(<module>)
      174    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.012    0.012 index_tricks.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:7(<module>)
        1    0.000    0.000    0.010    0.010 numeric.py:1(<module>)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
        1    0.000    0.000    0.009    0.009 utils.py:4(<module>)
  324/321    0.005    0.000    0.009    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.009    0.009 bz2.py:5(<module>)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
      131    0.008    0.000    0.008    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.008    0.008 tempfile.py:24(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:15(<module>)
      131    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.007    0.007 __init__.py:3(<module>)
      131    0.000    0.000    0.007    0.000 re.py:271(_compile)
        1    0.000    0.000    0.007    0.007 __init__.py:41(<module>)
        1    0.000    0.000    0.006    0.006 random.py:38(<module>)
       23    0.000    0.000    0.006    0.000 sre_compile.py:759(compile)
