[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         13158080 function calls (13139699 primitive calls) in 13.799 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   13.800    6.900 functions.py:1(<module>)
    895/1    0.004    0.000   13.800   13.800 {built-in method builtins.exec}
        1    0.000    0.000   13.098   13.098 functions.py:205(main)
        1    0.003    0.003   12.200   12.200 functions.py:179(matrice_distance)
        6    1.596    0.266   11.095    1.849 functions.py:151(needleman_wunsch)
  2922656    5.361    0.000    9.474    0.000 functions.py:85(formule_needleman)
       50    0.001    0.000    4.949    0.099 __init__.py:1(<module>)
  8767968    4.113    0.000    4.113    0.000 functions.py:51(score)
    838/5    0.006    0.000    1.794    0.359 <frozen importlib._bootstrap>:978(_find_and_load)
    835/5    0.003    0.000    1.794    0.359 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    794/5    0.003    0.000    1.791    0.358 <frozen importlib._bootstrap>:663(_load_unlocked)
    728/5    0.002    0.000    1.791    0.358 <frozen importlib._bootstrap_external>:722(exec_module)
   1011/5    0.001    0.000    1.781    0.356 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   505/59    0.001    0.000    1.565    0.027 {built-in method builtins.__import__}
3107/1444    0.002    0.000    1.441    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        5    0.000    0.000    1.100    0.220 shortcuts.py:4(progressbar)
        1    0.000    0.000    1.097    1.097 bar.py:230(__init__)
        1    0.000    0.000    1.097    1.097 bar.py:86(__init__)
        1    0.000    0.000    1.097    1.097 bar.py:102(_handle_resize)
        1    0.000    0.000    1.097    1.097 terminal.py:4(get_terminal_size)
      336    0.912    0.003    0.912    0.003 {built-in method io.open}
        1    0.000    0.000    0.894    0.894 functions.py:9(lire_fasta)
        1    0.000    0.000    0.741    0.741 connect.py:2(<module>)
        1    0.000    0.000    0.740    0.740 connect.py:5(<module>)
        2    0.000    0.000    0.736    0.368 select.py:24(select_backend)
        1    0.000    0.000    0.732    0.732 constants.py:2(<module>)
        1    0.000    0.000    0.731    0.731 _cffi.py:2(<module>)
        1    0.000    0.000    0.679    0.679 __init__.py:106(<module>)
        1    0.000    0.000    0.671    0.671 api.py:428(verify)
        1    0.000    0.000    0.669    0.669 verifier.py:91(load_library)
        1    0.000    0.000    0.660    0.660 verifier.py:198(_compile_module)
      728    0.007    0.000    0.581    0.001 <frozen importlib._bootstrap_external>:793(get_code)
        2    0.000    0.000    0.547    0.274 build_ext.py:1(<module>)
      728    0.422    0.001    0.454    0.001 <frozen importlib._bootstrap_external>:914(get_data)
        2    0.000    0.000    0.362    0.181 __init__.py:6(<module>)
        1    0.000    0.000    0.341    0.341 verifier.py:118(get_extension)
