yeah
blue
zalut
         31283971 function calls (31281577 primitive calls) in 28.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    155/1    0.001    0.000   28.700   28.700 {built-in method builtins.exec}
        1    0.000    0.000   28.700   28.700 functions.py:1(<module>)
        1    0.000    0.000   28.584   28.584 functions.py:214(main)
        1    0.008    0.008   28.584   28.584 functions.py:180(matrice_distance)
       13    4.161    0.320   28.571    2.198 functions.py:152(needleman_wunsch)
  7785780   13.679    0.000   24.327    0.000 functions.py:86(formule_needleman)
 23357340   10.649    0.000   10.649    0.000 functions.py:52(score)
    174/3    0.001    0.000    0.115    0.038 <frozen importlib._bootstrap>:978(_find_and_load)
    174/3    0.000    0.000    0.115    0.038 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    167/3    0.001    0.000    0.113    0.038 <frozen importlib._bootstrap>:663(_load_unlocked)
    143/3    0.000    0.000    0.113    0.038 <frozen importlib._bootstrap_external>:722(exec_module)
    238/3    0.000    0.000    0.113    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.106    0.106 __init__.py:106(<module>)
   325/15    0.000    0.000    0.086    0.006 {built-in method builtins.__import__}
   878/96    0.001    0.000    0.085    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        8    0.000    0.000    0.074    0.009 __init__.py:1(<module>)
       12    0.033    0.003    0.037    0.003 functions.py:108(backtrack)
      143    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      172    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      159    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      159    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      331    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      685    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      687    0.024    0.000    0.024    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.022    0.022 __init__.py:7(<module>)
       12    0.019    0.002    0.022    0.002 functions.py:127(alignement_from_backtrack)
        2    0.000    0.000    0.016    0.008 __init__.py:45(<module>)
  167/164    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      143    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      143    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      143    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
       13    0.000    0.000    0.012    0.001 numeric.py:293(full)
       14    0.012    0.001    0.012    0.001 {built-in method numpy.copyto}
       11    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
       11    0.010    0.001    0.011    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
        1    0.000    0.000    0.011    0.011 npyio.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:7(<module>)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
       13    0.004    0.000    0.009    0.001 functions.py:75(init_gap)
        1    0.000    0.000    0.009    0.009 _datasource.py:35(<module>)
        1    0.000    0.000    0.009    0.009 shutil.py:5(<module>)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
  373/370    0.004    0.000    0.007    0.000 {built-in method builtins.__build_class__}
      211    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      184    0.006    0.000    0.006    0.000 {built-in method numpy.array}
      193    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      143    0.006    0.000    0.006    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.006    0.006 utils.py:4(<module>)
        1    0.000    0.000    0.006    0.006 case.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:15(<module>)
        1    0.000    0.000    0.006    0.006 bz2.py:5(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:10(<module>)
      128    0.000    0.000    0.005    0.000 re.py:271(_compile)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
      143    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        1    0.000    0.000    0.005    0.005 _internal.py:6(<module>)
       20    0.000    0.000    0.005    0.000 sre_compile.py:759(compile)
        1    0.000    0.000    0.004    0.004 __init__.py:3(<module>)
       18    0.000    0.000    0.004    0.000 re.py:232(compile)
    79544    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.004    0.004 tempfile.py:24(<module>)
        1    0.000    0.000    0.004    0.004 py3k.py:4(<module>)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        2    0.000    0.000    0.004    0.002 utils.py:1(<module>)
        1    0.000    0.000    0.004    0.004 threading.py:1(<module>)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 main.py:1(<module>)
      167    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       13    0.003    0.000    0.003    0.000 functions.py:76(<listcomp>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
     1633    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       12    0.003    0.000    0.003    0.000 functions.py:171(pdistance)
      277    0.000    0.000    0.002    0.000 function_base.py:431(add_newdoc)
       13    0.000    0.000    0.002    0.000 functions.py:79(init_t)
       20    0.000    0.000    0.002    0.000 sre_parse.py:919(parse)
        1    0.000    0.000    0.002    0.002 numerictypes.py:81(<module>)
        1    0.000    0.000    0.002    0.002 shortcuts.py:1(<module>)
