[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         52684456 function calls (52682107 primitive calls) in 41.168 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    142/1    0.001    0.000   41.168   41.168 {built-in method builtins.exec}
        1    0.000    0.000   41.168   41.168 old.py:30(<module>)
        1    0.005    0.005   41.015   41.015 old.py:359(matrice_distance)
        6    2.388    0.398   41.008    6.835 old.py:322(needleman_wunsch)
  2922656    7.618    0.000   38.591    0.000 old.py:263(formule_needleman)
  2922656    1.574    0.000   20.558    0.000 fromnumeric.py:1041(argmax)
  2922656    3.872    0.000   18.985    0.000 fromnumeric.py:54(_wrapfunc)
  2922656    4.269    0.000   13.683    0.000 fromnumeric.py:41(_wrapit)
  8767968    6.836    0.000   10.415    0.000 old.py:139(score)
  2922663    0.817    0.000    6.231    0.000 numeric.py:469(asarray)
  2922800    5.415    0.000    5.415    0.000 {built-in method numpy.array}
 17535936    3.579    0.000    3.579    0.000 {method 'index' of 'list' objects}
  2922656    2.725    0.000    2.725    0.000 {method 'argmax' of 'numpy.ndarray' objects}
  5847090    1.889    0.000    1.889    0.000 {built-in method builtins.getattr}
    162/2    0.002    0.000    0.150    0.075 <frozen importlib._bootstrap>:978(_find_and_load)
    162/2    0.001    0.000    0.150    0.075 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    155/2    0.001    0.000    0.149    0.075 <frozen importlib._bootstrap>:663(_load_unlocked)
    131/2    0.000    0.000    0.149    0.074 <frozen importlib._bootstrap_external>:722(exec_module)
    222/2    0.000    0.000    0.148    0.074 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.148    0.148 __init__.py:106(<module>)
   320/12    0.000    0.000    0.120    0.010 {built-in method builtins.__import__}
   845/81    0.001    0.000    0.119    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        6    0.001    0.000    0.102    0.017 __init__.py:1(<module>)
      131    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      159    0.001    0.000    0.044    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      146    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      146    0.001    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      298    0.003    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      619    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      621    0.035    0.000    0.035    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.028    0.028 __init__.py:7(<module>)
  155/152    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        2    0.000    0.000    0.019    0.009 __init__.py:45(<module>)
