[[0.82136406 1.64791843        nan 0.        ]
 [0.         0.442919   0.82785871 0.        ]
 [0.         0.         0.3050718  0.        ]
 [0.         0.         0.         0.        ]]
         54075180 function calls (54056820 primitive calls) in 39.747 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    895/1    0.004    0.000   39.748   39.748 {built-in method builtins.exec}
        1    0.000    0.000   39.748   39.748 old.py:30(<module>)
        1    0.003    0.003   39.174   39.174 old.py:364(matrice_distance)
        6    2.386    0.398   38.090    6.348 old.py:327(needleman_wunsch)
  2922656    7.529    0.000   35.680    0.000 old.py:268(formule_needleman)
  2922656    1.330    0.000   18.869    0.000 fromnumeric.py:1041(argmax)
  2922656    3.661    0.000   17.538    0.000 fromnumeric.py:54(_wrapfunc)
  2922656    3.901    0.000   12.681    0.000 fromnumeric.py:41(_wrapit)
  8767968    6.509    0.000    9.283    0.000 old.py:144(score)
  2922663    0.759    0.000    6.040    0.000 numeric.py:469(asarray)
  2922800    5.284    0.000    5.284    0.000 {built-in method numpy.array}
       50    0.001    0.000    4.796    0.096 __init__.py:1(<module>)
 17535940    2.774    0.000    2.774    0.000 {method 'index' of 'list' objects}
  2922656    2.443    0.000    2.443    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    838/5    0.005    0.000    1.632    0.326 <frozen importlib._bootstrap>:978(_find_and_load)
    835/5    0.003    0.000    1.632    0.326 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    794/5    0.003    0.000    1.629    0.326 <frozen importlib._bootstrap>:663(_load_unlocked)
    728/5    0.002    0.000    1.629    0.326 <frozen importlib._bootstrap_external>:722(exec_module)
   1011/5    0.001    0.000    1.627    0.325 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  5860020    1.498    0.000    1.499    0.000 {built-in method builtins.getattr}
   505/59    0.001    0.000    1.438    0.024 {built-in method builtins.__import__}
3107/1462    0.002    0.000    1.318    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        5    0.000    0.000    1.079    0.216 shortcuts.py:4(progressbar)
        1    0.000    0.000    1.074    1.074 bar.py:230(__init__)
        1    0.000    0.000    1.074    1.074 bar.py:86(__init__)
        1    0.000    0.000    1.074    1.074 bar.py:102(_handle_resize)
        1    0.000    0.000    1.074    1.074 terminal.py:4(get_terminal_size)
        1    0.000    0.000    0.727    0.727 connect.py:2(<module>)
        1    0.000    0.000    0.725    0.725 connect.py:5(<module>)
        2    0.000    0.000    0.723    0.361 select.py:24(select_backend)
        1    0.000    0.000    0.719    0.719 constants.py:2(<module>)
        1    0.000    0.000    0.719    0.719 _cffi.py:2(<module>)
        1    0.000    0.000    0.659    0.659 api.py:428(verify)
        1    0.000    0.000    0.656    0.656 verifier.py:91(load_library)
        1    0.000    0.000    0.648    0.648 verifier.py:198(_compile_module)
